destroy_severity,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
1.0,wrong_coherent_memory,arbiter_only,0.012431095054966493,0.012431095054966493,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.16758397078878404,-0.15515287573381756,-0.003599425347631165,0.1435546875,0.1435546875,0.8564453125,0.0,0.25,2048
1.0,memory_swap,overdriven_arbiter,0.012878465970489484,0.012878465970489484,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.16766492060705496,-0.15478645463656548,-0.0031520544321081744,0.14306640625,0.14306640625,0.85693359375,0.0,0.25,2048
1.0,wrong_coherent_memory,overdriven_arbiter,0.012878465970489484,0.012878465970489484,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.16766492060705496,-0.15478645463656548,-0.0031520544321081744,0.14306640625,0.14306640625,0.85693359375,0.0,0.25,2048
0.7,memory_swap,overdriven_arbiter,0.013107047890600255,0.013107047890600255,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.1684450490567813,-0.15533800116618104,-0.0021851735103480775,0.14111328125,0.14111328125,0.85888671875,0.0,0.25,2048
0.7,wrong_coherent_memory,overdriven_arbiter,0.013107047890600255,0.013107047890600255,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.1684450490567813,-0.15533800116618104,-0.0021851735103480775,0.14111328125,0.14111328125,0.85888671875,0.0,0.25,2048
1.0,destroyed_memory,arbiter_only,0.007876691268501617,0.007876691268501617,0.01603052040259766,0.006194686182395716,0.007876691268511819,0.169838624368047,-0.1619619330995454,-0.008153829134096041,0.14111328125,0.14111328125,0.85888671875,0.0,0.25,2048
0.7,memory_swap,arbiter_only,0.012685798191450878,0.012685798191450878,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.16832078044205617,-0.1556349822506053,-0.002606423209497454,0.140625,0.140625,0.859375,0.0,0.25,2048
0.7,wrong_coherent_memory,arbiter_only,0.012685798191450878,0.012685798191450878,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.16832078044205617,-0.1556349822506053,-0.002606423209497454,0.140625,0.140625,0.859375,0.0,0.25,2048
1.0,destroyed_memory,latent_memory_only,0.006194686182385929,0.006194686182385929,0.01603052040259766,0.006194686182395716,0.007876691268511819,0.17038425038685798,-0.16418956420447203,-0.009835834220211729,0.13916015625,0.13916015625,0.86083984375,0.0,0.25,2048
1.0,adversarial_memory,arbiter_only,0.00514074319541731,0.00514074319541731,0.01603052040259766,-0.1639040269134801,0.005140743195423686,0.1741963978154987,-0.1690556546200814,-0.010889777207180349,0.138671875,0.138671875,0.861328125,0.0,0.25,2048
1.0,memory_swap,latent_memory_only,0.013080923577653527,0.013080923577653527,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.1678088026131132,-0.15472787903545968,-0.0029495968249441317,0.13720703125,0.13720703125,0.86279296875,0.0,0.25,2048
1.0,wrong_coherent_memory,latent_memory_only,0.013080923577653527,0.013080923577653527,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.1678088026131132,-0.15472787903545968,-0.0029495968249441317,0.13720703125,0.13720703125,0.86279296875,0.0,0.25,2048
0.7,memory_swap,latent_memory_only,0.013340707115442543,0.013340707115442543,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.16853930741738637,-0.15519860030194382,-0.0019515142855057895,0.13671875,0.13671875,0.86328125,0.0,0.25,2048
0.7,wrong_coherent_memory,latent_memory_only,0.013340707115442543,0.013340707115442543,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.16853930741738637,-0.15519860030194382,-0.0019515142855057895,0.13671875,0.13671875,0.86328125,0.0,0.25,2048
1.0,memory_swap,memory_bounded_arbiter,0.014069557665607732,0.014069557665607732,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.16796722309555098,-0.15389766542994324,-0.0019609627369899267,0.13525390625,0.13525390625,0.86474609375,0.0,0.25,2048
1.0,wrong_coherent_memory,memory_bounded_arbiter,0.014069557665607732,0.014069557665607732,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.16796722309555098,-0.15389766542994324,-0.0019609627369899267,0.13525390625,0.13525390625,0.86474609375,0.0,0.25,2048
0.7,memory_swap,memory_bounded_arbiter,0.014220343954924879,0.014220343954924879,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.16875710416231035,-0.1545367602073855,-0.001071877446023454,0.13427734375,0.13427734375,0.86572265625,0.0,0.25,2048
0.7,wrong_coherent_memory,memory_bounded_arbiter,0.014220343954924879,0.014220343954924879,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.16875710416231035,-0.1545367602073855,-0.001071877446023454,0.13427734375,0.13427734375,0.86572265625,0.0,0.25,2048
0.7,shuffled_memory,speed_only_no_memory,0.051928135686508683,0.051928135686508683,0.015292221400948334,0.13728106611286411,0.12251031851875252,0.2631096601339307,-0.21118152444742205,0.03663591428556035,0.13134765625,0.13134765625,0.86865234375,0.0,0.25,2048
0.7,shuffled_memory,latent_memory_only,0.13728106611270322,0.13728106611270322,0.015292221400948334,0.13728106611286411,0.12251031851875252,0.7134494636911493,-0.576168397578446,0.12198884471175488,0.130859375,0.130859375,0.869140625,0.0,0.25,2048
0.7,shuffled_memory,memory_bounded_arbiter,0.12964492178422476,0.12964492178422476,0.015292221400948334,0.13728106611286411,0.12251031851875252,0.6811749771930894,-0.5515300554088646,0.11435270038327643,0.130859375,0.130859375,0.869140625,0.0,0.25,2048
