memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
memory_swap,observable_only,0.015661370901757867,0.015661370901757867,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.17077578018717599,-0.15511440928541811,-1.5128507120337694e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
shuffled_memory,observable_only,0.015661370901757867,0.015661370901757867,0.015661370901772997,0.13307613964573523,0.11819125067751936,0.17077578018717599,-0.15511440928541811,-1.5128507120337694e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
wrong_coherent_memory,observable_only,0.015661370901757867,0.015661370901757867,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.17077578018717599,-0.15511440928541811,-1.5128507120337694e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
adversarial_memory,null_memory,0.015661370901685987,0.015661370901685987,0.015661370901772997,-0.16345417086465885,0.10028554587002363,0.17077578018639206,-0.15511440928470607,-8.700895482200117e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
coherent_memory,null_memory,0.015661370901685987,0.015661370901685987,0.015661370901772997,0.792906730870726,0.7451646082899649,0.17077578018639206,-0.15511440928470607,-8.700895482200117e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
destroyed_memory,null_memory,0.015661370901685987,0.015661370901685987,0.015661370901772997,0.10368791629954947,0.10071882943262635,0.17077578018639206,-0.15511440928470607,-8.700895482200117e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
memory_swap,null_memory,0.015661370901685987,0.015661370901685987,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.17077578018639206,-0.15511440928470607,-8.700895482200117e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
shuffled_memory,null_memory,0.015661370901685987,0.015661370901685987,0.015661370901772997,0.13307613964573523,0.11819125067751936,0.17077578018639206,-0.15511440928470607,-8.700895482200117e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
wrong_coherent_memory,null_memory,0.015661370901685987,0.015661370901685987,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.17077578018639206,-0.15511440928470607,-8.700895482200117e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
memory_swap,speed_only_no_memory,0.01727872180180231,0.01727872180180231,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.16920625968454184,-0.15192753788273952,0.0016173509000293124,0.15185546875,0.15185546875,0.84814453125,0.0,0.25,4096
