memory_cap,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
0.5,wrong_coherent_memory,null_memory,0.015095085097180489,0.015095085097180489,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.17085754278921395,-0.15576245769203345,-8.386379871373635e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
0.5,memory_swap,speed_only_no_memory,0.01641138490236579,0.01641138490236579,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.16961285759312322,-0.15320147269075743,0.0013162998051014399,0.15234375,0.15234375,0.84765625,0.0,0.25,2048
0.5,wrong_coherent_memory,speed_only_no_memory,0.01641138490236579,0.01641138490236579,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.16961285759312322,-0.15320147269075743,0.0013162998051014399,0.15234375,0.15234375,0.84765625,0.0,0.25,2048
1.0,memory_swap,speed_only_no_memory,0.018146058701238824,0.018146058701238824,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.16879966177596045,-0.15065360307472164,0.001918401994957185,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,wrong_coherent_memory,speed_only_no_memory,0.018146058701238824,0.018146058701238824,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.16879966177596045,-0.15065360307472164,0.001918401994957185,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,adversarial_memory,observable_only,0.016227656706265917,0.016227656706265917,0.01622765670628164,-0.19786970476634974,0.11497394968936503,0.17069401758435385,-0.1544663608780879,-1.5722741557508538e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,coherent_memory,observable_only,0.016227656706265917,0.016227656706265917,0.01622765670628164,0.9261731014540024,0.8936368679351614,0.17069401758435385,-0.1544663608780879,-1.5722741557508538e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,destroyed_memory,observable_only,0.016227656706265917,0.016227656706265917,0.01622765670628164,0.11232176268805426,0.11265615558128772,0.17069401758435385,-0.1544663608780879,-1.5722741557508538e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,memory_swap,observable_only,0.016227656706265917,0.016227656706265917,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.17069401758435385,-0.1544663608780879,-1.5722741557508538e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
1.0,shuffled_memory,observable_only,0.016227656706265917,0.016227656706265917,0.01622765670628164,0.14964664824669904,0.1349784767780956,0.17069401758435385,-0.1544663608780879,-1.5722741557508538e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
