alias_leak,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
0.02,memory_swap,overdriven_arbiter,0.016665940767738082,0.016665940767738082,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.16484721401338226,-0.14818127324564417,-0.016863711150179615,0.1640625,0.1640625,0.8359375,0.0,0.25,2048
0.02,wrong_coherent_memory,overdriven_arbiter,0.016665940767738082,0.016665940767738082,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.16484721401338226,-0.14818127324564417,-0.016863711150179615,0.1640625,0.1640625,0.8359375,0.0,0.25,2048
0.0,coherent_memory,shuffled_label_control,0.5310859740305411,0.14108789534391847,-0.0022069101143717073,0.7886239852926356,0.7402676618416917,0.029605208057761703,0.5014807659727794,0.5332928841449128,0.73956298828125,0.16339111328125,0.26043701171875,0.16339111328125,0.25,16384
0.02,coherent_memory,shuffled_label_control,0.5487826178313977,0.143316001516459,0.0335296519179177,0.7971894764488167,0.7500615547382381,0.027533726915696544,0.5212488909157011,0.51525296591348,0.76171875,0.161865234375,0.23828125,0.161865234375,0.25,16384
0.02,memory_swap,arbiter_only,0.015457038243531705,0.015457038243531705,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.16444546515783298,-0.14898842691430128,-0.018072613674385993,0.16015625,0.16015625,0.83984375,0.0,0.25,2048
0.02,wrong_coherent_memory,arbiter_only,0.015457038243531705,0.015457038243531705,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.16444546515783298,-0.14898842691430128,-0.018072613674385993,0.16015625,0.16015625,0.83984375,0.0,0.25,2048
0.02,memory_swap,memory_bounded_arbiter,0.02026869034207235,0.02026869034207235,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.16648138980788826,-0.14621269946581592,-0.01326096157584535,0.15625,0.15625,0.84375,0.0,0.25,2048
0.02,wrong_coherent_memory,memory_bounded_arbiter,0.02026869034207235,0.02026869034207235,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.16648138980788826,-0.14621269946581592,-0.01326096157584535,0.15625,0.15625,0.84375,0.0,0.25,2048
0.02,memory_swap,latent_memory_only,0.01842737865847803,0.01842737865847803,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.16673806442472155,-0.1483106857662435,-0.015102273259439667,0.15185546875,0.15185546875,0.84814453125,0.0,0.25,2048
0.02,wrong_coherent_memory,latent_memory_only,0.01842737865847803,0.01842737865847803,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.16673806442472155,-0.1483106857662435,-0.015102273259439667,0.15185546875,0.15185546875,0.84814453125,0.0,0.25,2048
0.02,shuffled_memory,speed_only_no_memory,0.06804477107423365,0.06804477107423365,0.0335296519179177,0.13993201160923066,0.12535153195958312,0.2625643331345488,-0.19451956206031512,0.03451511915631596,0.1455078125,0.1455078125,0.8544921875,0.0,0.25,2048
0.0,shuffled_memory,latent_memory_only,0.12622026768209169,0.12622026768209169,-0.0022069101143717073,0.12622026768223982,0.11103096939545556,0.7168289091070189,-0.5906086414249272,0.1284271777964634,0.12744140625,0.12744140625,0.87255859375,0.0,0.25,2048
0.0,shuffled_memory,memory_bounded_arbiter,0.11658064115397075,0.11658064115397075,-0.0022069101143717073,0.12622026768223982,0.11103096939545556,0.6845806456421835,-0.5680000044882128,0.11878755126834246,0.12744140625,0.12744140625,0.87255859375,0.0,0.25,2048
0.0,shuffled_memory,overdriven_arbiter,0.11224119577265752,0.11224119577265752,-0.0022069101143717073,0.12622026768223982,0.11103096939545556,0.6815498409707942,-0.5693086451981366,0.11444810588702924,0.12744140625,0.12744140625,0.87255859375,0.0,0.25,2048
0.0,shuffled_memory,arbiter_only,0.11103096939532921,0.11103096939532921,-0.0022069101143717073,0.12622026768223982,0.11103096939545556,0.6792815140754237,-0.5682505446800944,0.1132378795097009,0.12744140625,0.12744140625,0.87255859375,0.0,0.25,2048
0.0,memory_swap,speed_only_no_memory,0.0012616490345946111,0.0012616490345946111,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.16810460399793573,-0.16684295496334112,0.0034685591489663184,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,wrong_coherent_memory,speed_only_no_memory,0.0012616490345946111,0.0012616490345946111,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.16810460399793573,-0.16684295496334112,0.0034685591489663184,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,adversarial_memory,null_memory,-0.0022069101143594454,-0.0022069101143594454,-0.0022069101143717073,-0.1693786081960999,0.09449238852505172,0.16984732942373565,-0.1720542395380951,1.2261898035005471e-14,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,coherent_memory,null_memory,-0.0022069101143594454,-0.0022069101143594454,-0.0022069101143717073,0.7886239852926356,0.7402676618416917,0.16984732942373565,-0.1720542395380951,1.2261898035005471e-14,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,destroyed_memory,null_memory,-0.0022069101143594454,-0.0022069101143594454,-0.0022069101143717073,0.09628525218062078,0.09630005251671742,0.16984732942373565,-0.1720542395380951,1.2261898035005471e-14,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,memory_swap,null_memory,-0.0022069101143594454,-0.0022069101143594454,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.16984732942373565,-0.1720542395380951,1.2261898035005471e-14,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,shuffled_memory,null_memory,-0.0022069101143594454,-0.0022069101143594454,-0.0022069101143717073,0.12622026768223982,0.11103096939545556,0.16984732942373565,-0.1720542395380951,1.2261898035005471e-14,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,wrong_coherent_memory,null_memory,-0.0022069101143594454,-0.0022069101143594454,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.16984732942373565,-0.1720542395380951,1.2261898035005471e-14,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,adversarial_memory,observable_only,-0.0022069101143694877,-0.0022069101143694877,-0.0022069101143717073,-0.1693786081960999,0.09449238852505172,0.16984732942451522,-0.1720542395388847,2.2200336070707268e-15,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,coherent_memory,observable_only,-0.0022069101143694877,-0.0022069101143694877,-0.0022069101143717073,0.7886239852926356,0.7402676618416917,0.16984732942451522,-0.1720542395388847,2.2200336070707268e-15,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,destroyed_memory,observable_only,-0.0022069101143694877,-0.0022069101143694877,-0.0022069101143717073,0.09628525218062078,0.09630005251671742,0.16984732942451522,-0.1720542395388847,2.2200336070707268e-15,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,memory_swap,observable_only,-0.0022069101143694877,-0.0022069101143694877,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.16984732942451522,-0.1720542395388847,2.2200336070707268e-15,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,shuffled_memory,observable_only,-0.0022069101143694877,-0.0022069101143694877,-0.0022069101143717073,0.12622026768223982,0.11103096939545556,0.16984732942451522,-0.1720542395388847,2.2200336070707268e-15,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.0,wrong_coherent_memory,observable_only,-0.0022069101143694877,-0.0022069101143694877,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.16984732942451522,-0.1720542395388847,2.2200336070707268e-15,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.02,shuffled_memory,latent_memory_only,0.13993201160906535,0.13993201160906535,0.0335296519179177,0.13993201160923066,0.12535153195958312,0.7154686673018751,-0.5755366556928098,0.10640235969114764,0.125,0.125,0.875,0.0,0.25,2048
0.02,shuffled_memory,memory_bounded_arbiter,0.13415452050808616,0.13415452050808616,0.0335296519179177,0.13993201160923066,0.12535153195958312,0.6833930670977807,-0.5492385465896945,0.10062486859016845,0.125,0.125,0.875,0.0,0.25,2048
0.02,shuffled_memory,overdriven_arbiter,0.12747629433598218,0.12747629433598218,0.0335296519179177,0.13993201160923066,0.12535153195958312,0.6816980922046383,-0.5542217978686561,0.09394664241806448,0.125,0.125,0.875,0.0,0.25,2048
0.02,shuffled_memory,arbiter_only,0.1253515319594391,0.1253515319594391,0.0335296519179177,0.13993201160923066,0.12535153195958312,0.6798417087527768,-0.5544901767933378,0.0918218800415214,0.125,0.125,0.875,0.0,0.25,2048
0.0,memory_swap,arbiter_only,0.009659855002885668,0.009659855002885668,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.17145928607300723,-0.16179943107012154,0.011866765117257375,0.1240234375,0.1240234375,0.8759765625,0.0,0.25,2048
0.0,wrong_coherent_memory,arbiter_only,0.009659855002885668,0.009659855002885668,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.17145928607300723,-0.16179943107012154,0.011866765117257375,0.1240234375,0.1240234375,0.8759765625,0.0,0.25,2048
0.0,memory_swap,latent_memory_only,0.00799425203461804,0.00799425203461804,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.16961004560577803,-0.16161579357116,0.010201162148989746,0.1220703125,0.1220703125,0.8779296875,0.0,0.25,2048
0.0,wrong_coherent_memory,latent_memory_only,0.00799425203461804,0.00799425203461804,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.16961004560577803,-0.16161579357116,0.010201162148989746,0.1220703125,0.1220703125,0.8779296875,0.0,0.25,2048
0.0,memory_swap,overdriven_arbiter,0.009319573093351656,0.009319573093351656,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.171262755650454,-0.16194318255710236,0.011526483207723363,0.1201171875,0.1201171875,0.8798828125,0.0,0.25,2048
0.0,wrong_coherent_memory,overdriven_arbiter,0.009319573093351656,0.009319573093351656,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.171262755650454,-0.16194318255710236,0.011526483207723363,0.1201171875,0.1201171875,0.8798828125,0.0,0.25,2048
0.0,memory_swap,memory_bounded_arbiter,0.008021211278460262,0.008021211278460262,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.17024293744997307,-0.16222172617151281,0.01022812139283197,0.11328125,0.11328125,0.88671875,0.0,0.25,2048
0.0,wrong_coherent_memory,memory_bounded_arbiter,0.008021211278460262,0.008021211278460262,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.17024293744997307,-0.16222172617151281,0.01022812139283197,0.11328125,0.11328125,0.88671875,0.0,0.25,2048
0.0,shuffled_memory,speed_only_no_memory,0.033587465723243906,0.033587465723243906,-0.0022069101143717073,0.12622026768223982,0.11103096939545556,0.2639322379485328,-0.2303447722252889,0.03579437583761561,0.11279296875,0.11279296875,0.88720703125,0.0,0.25,2048
0.02,adversarial_memory,memory_bounded_arbiter,-0.12377768157889989,-0.12377768157889989,0.0335296519179177,-0.1575297335332178,0.10607870321499553,0.7147497675108573,-0.8385274490897572,-0.15730733349681758,0.0,0.0,1.0,0.0,0.25,2048
0.0,adversarial_memory,memory_bounded_arbiter,-0.14133617284206001,-0.14133617284206001,-0.0022069101143717073,-0.1693786081960999,0.09449238852505172,0.7134678424311306,-0.8548040152731906,-0.1391292627276883,0.0,0.0,1.0,0.0,0.25,2048
0.02,adversarial_memory,latent_memory_only,-0.15752973353303598,-0.15752973353303598,0.0335296519179177,-0.1575297335332178,0.10607870321499553,0.8042604417852961,-0.9617901753183321,-0.1910593854509537,0.0,0.0,1.0,0.0,0.25,2048
0.0,adversarial_memory,latent_memory_only,-0.16937860819590128,-0.16937860819590128,-0.0022069101143717073,-0.1693786081960999,0.09449238852505172,0.8036747452657798,-0.973053353461681,-0.16717169808152957,0.0,0.0,1.0,0.0,0.25,2048
