condition,mode,noise,memory_cap,arbiter_speed,memory_true_similarity,memory_observable_similarity,memory_arbiter_similarity,count,target_similarity,nearest_non_target,dominance,recovered,competitor_won,coef_X,coef_X_std,coef_Phi,coef_Phi_std,coef_K,coef_K_std,coef_A,coef_A_std
shuffled_memory,null_memory,0.05666666666666667,0.625,3.1,0.09853275067687978,0.08542426919014799,0.08591152128102636,2184.0,9.556126296392111e-05,0.34785036391280677,-0.3477548026498428,0.015476190476190477,0.9845238095238095,,,,,,,,
shuffled_memory,observable_only,0.05666666666666667,0.625,3.1,0.09853275067687978,0.08542426919014799,0.08591152128102636,2184.0,0.0013592389606633373,0.3467338610673606,-0.3453746221066973,0.015277777777777777,0.9847222222222223,,,,,,,,
wrong_memory,memory_only,0.05666666666666667,0.625,3.1,-0.0014513638025822134,0.001001041647946113,-0.0055770022752308765,2184.0,1.0,0.9057840210034914,0.09421597899650855,0.6554410866910867,0.3445589133089133,,,,,,,,
wrong_memory,calibrated_no_arbiter,0.05666666666666667,0.625,3.1,-0.0014513638025822134,0.001001041647946113,-0.0055770022752308765,2184.0,0.08272360602862566,0.44379799171195244,-0.3610743856833267,0.018574481074481074,0.981425518925519,0.007843808600116095,0.341510871092386,-0.009961335417000068,0.2864623997695892,0.01568155083564502,0.2227018417068299,-0.0057869618091016765,0.4190762060754675
wrong_memory,calibrated_full,0.05666666666666667,0.625,3.1,-0.0014513638025822134,0.001001041647946113,-0.0055770022752308765,2184.0,0.08547941009061598,0.4324963383719767,-0.3470169282813607,0.01849053724053724,0.9815094627594628,0.007843808600116095,0.341510871092386,-0.009961335417000068,0.2864623997695892,0.01568155083564502,0.2227018417068299,-0.0057869618091016765,0.4190762060754675
wrong_memory,calibrated_no_observable,0.05666666666666667,0.625,3.1,-0.0014513638025822134,0.001001041647946113,-0.0055770022752308765,2184.0,0.08547941009061598,0.4324963383719767,-0.3470169282813607,0.01849053724053724,0.9815094627594628,0.007843808600116095,0.341510871092386,-0.009961335417000068,0.2864623997695892,0.01568155083564502,0.2227018417068299,-0.0057869618091016765,0.4190762060754675
wrong_memory,null_memory,0.05666666666666667,0.625,3.1,-0.0014513638025822134,0.001001041647946113,-0.0055770022752308765,2184.0,-2.592504345955351e-05,0.3304923492270431,-0.3305182742705027,0.015766178266178266,0.9842338217338218,,,,,,,,
wrong_memory,shuffled_label_control,0.05666666666666667,0.625,3.1,-0.0014513638025822134,0.001001041647946113,-0.0055770022752308765,2184.0,0.015100061761241835,0.43272041313871434,-0.41762035137747255,0.014858058608058607,0.9851419413919413,,,,,,,,
wrong_memory,observable_only,0.05666666666666667,0.625,3.1,-0.0014513638025822134,0.001001041647946113,-0.0055770022752308765,2184.0,0.004905598039320513,0.3321418400282685,-0.327236241988948,0.014438339438339439,0.9855616605616606,,,,,,,,
wrong_memory,arbiter_only,0.05666666666666667,0.625,3.1,-0.0014513638025822134,0.001001041647946113,-0.0055770022752308765,2184.0,-0.00481987903263067,0.7538328798958057,-0.7586527589284364,0.0006486568986568986,0.9993513431013431,,,,,,,,
wrong_memory,speed_only_no_memory,0.05666666666666667,0.625,3.1,-0.0014513638025822134,0.001001041647946113,-0.0055770022752308765,2184.0,-0.004819879032630671,0.7538328798958057,-0.7586527589284364,0.0006486568986568986,0.9993513431013431,,,,,,,,
